"Timestamp","Where did you see the course advertised?","What is your career stage?","What is your host university?","Gender?","Have you used the tools/resource(s) covered in the course before?","Will you use the tools/resource(s) covered in the course again?","Would you recommend the course?","What is your overall rating for the course?","May we contact you by email in the future for more feedback?","If we may contact you by email in the future for more feedback, what email address should we use?"
"2025/05/09 5:02:33 pm EEST","Email","Staff scientist","Umeå university","Female","Never - Unaware of them","Yes","Yes","c. Good (3)","Yes","Removed by Richel"
"2025/05/09 5:03:37 pm EEST","Email","PhD candidate","Karolinska Institutet","Female","Occasionally","Yes","Yes","e. Excellent (5)","No",""
"2025/05/09 6:45:33 pm EEST","NAISS newsletter","PhD candidate","Linköping University","Male","Occasionally","Yes","Yes","d. Very Good (4)","Yes","Removed by Richel"
"2025/05/12 11:18:23 am EEST","Colleague","Staff scientist","Uppsala university","Prefer not to say","Occasionally","Yes","Yes","d. Very Good (4)","No",""
