Note: there are more sheets in this document,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,
Date,Session,Voter,Final confidence report:,I am confidant that...:  I understand how to methodically optimize the runtime speed of my code,I am confidant that...: - I understand what Big O is,I am confidant that...: - I can create a Big O profile of my project,I am confidant that...: - I can read a runtime speed profile,I am confidant that...: - I can create a runtime speed profile,I am confidant that...: - I can mentalize the installation needs from the users' perspective,I am confidant that...: - I can evaluate different available tools for reproducibility and installations,I am confidant that...: - I can make an installation instruction for potential users,I am confidant that...: - I know the most important sections for a full public README,I am confidant that...: - I can make citation info,I am confidant that...: - I know how to find instruction of going to more sophisticated documentation,I am confidant that...: The course met my expectations,I am confidant that...: I learned a lot of new things about software development as a process,I am confidant that...: I will use what I learned in my projects
2024-11-22,1,1,,8,10,10,10,10,7,6,7,9,9,8,9,10,10
2024-11-22,1,2,,7,9,8,9,9,8,8,9,9,8,8,9,10,9
2024-11-22,1,3,Thumbs up,8,9,6,10,10,6,7,10,10,10,7,10,10,10
2024-11-22,1,4,,10,9,9,10,10,9,10,10,10,9,10,10,10,10
2024-11-22,1,5,,4,8,1,7,4,5,5,10,10,10,9,8,10,10
2024-11-22,1,6,,10,10,10,10,10,2,3,5,10,9,6,10,10,10
