Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,
Date,Session,Voter,Let's see how confident you are for tuesday:,How confident am I?: I understand what SDLC is,How confident am I?: I know the major parts of a developel cycle,How confident am I?: I understand the spiral model of SDLC,How confident am I?: I know the major technichal risks with a SW project,How confident am I?: I know how to  make a risk for a requirment,How confident am I?: I understand the key features of  XP (eXtreme Programming),How confident am I?: I know the basic features of RAD (Rapid Application Development) ,"How confident am I?: I know where to find the ""latest"" best practices",How comfortable am I with?:  I understand why issues are important,"How comfortable am I with?: - I can create, assign and close an issue",How comfortable am I with?: - I understand why a kanban board is important,How comfortable am I with?: - I can use a kanban board,How comfortable am I with?: - I can name at least three roles that are present in a team,How comfortable am I with?: - I understand why TDD is important,How comfortable am I with?: - I can use TDD to develop functions,How comfortable am I with?: - I understand why `assert` is important
2024-11-19,1,1,,4,3,4,4,5,4,3,3,5,5,5,5,4,4,4,4
2024-11-19,1,2,,4,4,4,4,5,5,4,5,5,5,4,4,3,4,3,3
2024-11-19,1,3,,4,4,4,3,5,3,3,4,5,5,5,5,4,4,4,4
2024-11-19,1,4,,4,4,4,4,4,4,3,5,5,5,5,5,4,5,4,4
2024-11-19,1,5,,5,5,5,3,4,4,4,1,5,5,5,5,4,5,5,5
2024-11-19,1,6,,4,4,3,3,5,2,1,2,5,5,5,5,5,5,3,3
2024-11-19,1,7,,4,4,4,4,5,3,3,4,5,5,5,4,5,5,3,3
2024-11-19,1,8,,4,5,5,4,4,3,3,3,5,5,5,5,4,4,4,3
